SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
459,16.384,32,10,protocol,7.5,700,11339,16.1986,1254,983,0.783892,0.661981,0.583551,0.541032,0.5138699999999999,0.47997700000000004,0.447392,0.447392,0.447392,0.447392,0.510912,20,70.0
582,19.968,39,10,protocol,7.5,1300,28356,21.8123,4011,2755,0.6868609999999999,0.520548,0.452903,0.41821499999999995,0.392977,0.362701,0.33050799999999997,0.33050799999999997,0.33050799999999997,0.33050799999999997,0.504567,20,130.0
708,12.288,24,10,protocol,7.5,1400,26982,19.2729,3966,2472,0.6232979999999999,0.49099,0.42912,0.38575,0.351837,0.31664000000000003,0.283833,0.283833,0.283833,0.283833,0.501674,20,140.0
396,17.408,34,10,protocol,7.5,1400,25347,18.105,3598,2409,0.669539,0.49639300000000003,0.43232600000000004,0.390144,0.353879,0.316605,0.28370700000000004,0.28370700000000004,0.28370700000000004,0.28370700000000004,0.49495500000000003,20,140.0
699,16.384,32,10,protocol,7.5,2000,54047,27.0235,9575,5265,0.5498689999999999,0.416022,0.362944,0.334789,0.312529,0.285955,0.258517,0.258517,0.258517,0.258517,0.47324799999999995,20,200.0
66,12.288,24,10,protocol,7.5,1300,24259,18.6608,3419,2303,0.673589,0.509885,0.44505900000000004,0.408677,0.379685,0.342974,0.310498,0.310498,0.310498,0.310498,0.49066099999999996,20,130.0
612,19.968,39,10,protocol,7.5,900,17636,19.5956,1929,1450,0.751685,0.638295,0.575939,0.536369,0.5091939999999999,0.468819,0.426725,0.426725,0.426725,0.426725,0.5096069999999999,20,90.0
506,14.847999999999999,29,10,protocol,7.5,1700,35355,20.7971,8029,4533,0.564578,0.4201180000000001,0.361635,0.33103299999999997,0.30645700000000003,0.276017,0.24694499999999997,0.24694499999999997,0.24694499999999997,0.24694499999999997,0.4879060000000001,20,170.0
556,15.36,30,10,protocol,7.5,1000,17969,17.969,2130,1470,0.690141,0.565649,0.507622,0.47463299999999997,0.443734,0.403144,0.368706,0.368706,0.368706,0.368706,0.530429,20,100.0
44,12.8,25,10,protocol,7.5,1000,17131,17.131,1688,1225,0.725711,0.599276,0.540931,0.49729300000000004,0.46621899999999994,0.42547399999999996,0.381228,0.381228,0.381228,0.381228,0.533326,20,100.0
751,10.24,20,10,protocol,7.5,1900,31486,16.5716,9191,3769,0.410075,0.315417,0.268538,0.241972,0.219125,0.195448,0.17468599999999998,0.17468599999999998,0.17468599999999998,0.17468599999999998,0.476713,20,190.0
