SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24
2,4.096,8,10,protocol,7.5,400,4310,10.775,310,268,0.864516,0.853119,0.834398,0.808843,0.787219,0.745498,0.685651,0.685651,0.685651,0.685651,0.430099,24
3,10.24,20,10,protocol,7.5,400,4329,10.8225,344,308,0.895349,0.878147,0.858491,0.829276,0.790981,0.744712,0.675883,0.675883,0.675883,0.675883,0.469765,24
4,13.312,26,10,protocol,7.5,400,4292,10.73,349,319,0.91404,0.887113,0.861942,0.820764,0.778313,0.732124,0.673044,0.673044,0.673044,0.673044,0.483574,24
5,13.312,26,10,protocol,7.5,400,4458,11.145,290,255,0.87931,0.879048,0.873232,0.8398,0.798021,0.751162,0.683331,0.683331,0.683331,0.683331,0.474625,24
6,12.288,24,10,protocol,7.5,400,4608,11.52,266,254,0.954887,0.904811,0.879005,0.844287,0.812193,0.765553,0.696027,0.696027,0.696027,0.696027,0.468422,24
7,11.776,23,10,protocol,7.5,400,4460,11.15,221,201,0.909502,0.879592,0.84434,0.804907,0.774473,0.731973,0.66369,0.66369,0.66369,0.66369,0.456098,24
8,10.24,20,10,protocol,7.5,400,4549,11.3725,246,218,0.886179,0.844961,0.822439,0.793073,0.772427,0.73504,0.667792,0.667792,0.667792,0.667792,0.455806,24
9,10.24,20,10,protocol,7.5,400,4800,12,253,235,0.928854,0.864603,0.846883,0.835366,0.814375,0.764646,0.699767,0.699767,0.699767,0.699767,0.44249,24
10,10.24,20,10,protocol,7.5,400,4574,11.435,248,222,0.895161,0.833988,0.799908,0.788889,0.772425,0.722167,0.665599,0.665599,0.665599,0.665599,0.438226,24
11,11.776,23,10,protocol,7.5,400,4713,11.7825,236,203,0.860169,0.855166,0.824675,0.806397,0.779131,0.737517,0.677596,0.677596,0.677596,0.677596,0.43414,24
12,8.704,17,10,protocol,7.5,400,4846,12.115,256,224,0.875,0.84,0.821584,0.810985,0.790384,0.750907,0.680911,0.680911,0.680911,0.680911,0.440499,24
13,13.312,26,10,protocol,7.5,400,4589,11.4725,250,208,0.832,0.809392,0.786404,0.773337,0.744596,0.707148,0.640475,0.640475,0.640475,0.640475,0.47929,24
14,15.872,31,10,protocol,7.5,400,4690,11.725,236,210,0.889831,0.818421,0.801117,0.779935,0.755662,0.71675,0.648727,0.648727,0.648727,0.648727,0.50305,24
15,15.36,30,10,protocol,7.5,400,5019,12.5475,312,281,0.900641,0.858595,0.835965,0.815332,0.795236,0.752754,0.691809,0.691809,0.691809,0.691809,0.49903,24
16,12.8,25,10,protocol,7.5,400,4973,12.4325,316,273,0.863924,0.863799,0.828261,0.792864,0.774219,0.736554,0.678957,0.678957,0.678957,0.678957,0.508546,24
17,16.896,33,10,protocol,7.5,400,5189,12.9725,306,275,0.898693,0.867012,0.830743,0.81105,0.794531,0.757308,0.701379,0.701379,0.701379,0.701379,0.506436,24
18,17.408,34,10,protocol,7.5,400,5089,12.7225,327,282,0.862385,0.838349,0.813088,0.784891,0.76944,0.732729,0.672797,0.672797,0.672797,0.672797,0.5024,24
19,17.92,35,10,protocol,7.5,400,5074,12.685,330,296,0.89697,0.855654,0.823907,0.78743,0.759805,0.722078,0.662141,0.662141,0.662141,0.662141,0.501984,24
20,19.456,38,10,protocol,7.5,400,5146,12.865,416,371,0.891827,0.831405,0.796708,0.767884,0.754665,0.720448,0.665761,0.665761,0.665761,0.665761,0.506877,24
21,18.432,36,10,protocol,7.5,400,5537,13.8425,383,351,0.916449,0.876623,0.847334,0.822463,0.795209,0.762019,0.706881,0.706881,0.706881,0.706881,0.504095,24
22,18.944,37,10,protocol,7.5,400,5501,13.7525,358,341,0.952514,0.873786,0.833522,0.806936,0.778625,0.744203,0.691611,0.691611,0.691611,0.691611,0.506381,24
23,19.456,38,10,protocol,7.5,400,5319,13.2975,322,305,0.947205,0.860913,0.818148,0.78156,0.749373,0.712117,0.659474,0.659474,0.659474,0.659474,0.50371,24
24,19.968,39,10,protocol,7.5,400,4888,12.22,336,282,0.839286,0.777388,0.725614,0.699349,0.681769,0.645147,0.592525,0.592525,0.592525,0.592525,0.504635,24
25,20.48,40,10,protocol,7.5,400,5459,13.6475,384,355,0.924479,0.854054,0.802569,0.771739,0.746324,0.713615,0.656242,0.656242,0.656242,0.656242,0.501885,24
26,18.432,36,10,protocol,7.5,400,5246,13.115,342,300,0.877193,0.832319,0.787712,0.735051,0.706946,0.676265,0.622093,0.622093,0.622093,0.622093,0.497589,24
27,16.896,33,10,protocol,7.5,400,5504,13.76,390,357,0.915385,0.8329,0.784486,0.747018,0.723116,0.696061,0.646568,0.646568,0.646568,0.646568,0.493632,24
28,18.944,37,10,protocol,7.5,400,5446,13.615,464,409,0.881466,0.812291,0.767564,0.732378,0.702237,0.671313,0.625992,0.625992,0.625992,0.625992,0.489576,24
29,18.432,36,10,protocol,7.5,400,5556,13.89,456,409,0.89693,0.808852,0.77475,0.73709,0.70277,0.671355,0.629105,0.629105,0.629105,0.629105,0.487754,24
30,18.432,36,10,protocol,7.5,400,5951,14.8775,430,385,0.895349,0.852357,0.809142,0.768382,0.743799,0.707352,0.667565,0.667565,0.667565,0.667565,0.483276,24
31,17.92,35,10,protocol,7.5,400,5838,14.595,392,366,0.933673,0.844725,0.796383,0.759034,0.73329,0.69722,0.652831,0.652831,0.652831,0.652831,0.482198,24
32,17.92,35,10,protocol,7.5,400,5840,14.6,402,367,0.912935,0.859331,0.795085,0.754997,0.728299,0.694238,0.65015,0.65015,0.65015,0.65015,0.480931,24
33,19.456,38,10,protocol,7.5,400,5251,13.1275,444,389,0.876126,0.785195,0.71874,0.680561,0.649897,0.622588,0.578564,0.578564,0.578564,0.578564,0.499621,24
34,19.968,39,10,protocol,7.5,400,5771,14.4275,504,455,0.902778,0.836454,0.780862,0.735067,0.706921,0.676882,0.623527,0.623527,0.623527,0.623527,0.496059,24
35,19.968,39,10,protocol,7.5,400,5919,14.7975,506,453,0.895257,0.840367,0.784964,0.738193,0.712769,0.684062,0.63608,0.63608,0.63608,0.63608,0.494552,24
36,20.992,41,10,protocol,7.5,400,5964,14.91,478,409,0.855649,0.809868,0.754634,0.718488,0.703166,0.680288,0.641704,0.641704,0.641704,0.641704,0.492428,24
37,20.48,40,10,protocol,7.5,400,5843,14.6075,400,356,0.89,0.81903,0.760195,0.72283,0.704034,0.675467,0.637803,0.637803,0.637803,0.637803,0.493519,24
38,18.432,36,10,protocol,7.5,400,5421,13.5525,368,330,0.896739,0.795745,0.741649,0.703166,0.670632,0.636989,0.593148,0.593148,0.593148,0.593148,0.495406,24
39,19.456,38,10,protocol,7.5,400,5568,13.92,390,343,0.879487,0.813299,0.751464,0.712537,0.690143,0.661503,0.615342,0.615342,0.615342,0.615342,0.493505,24
40,19.456,38,10,protocol,7.5,400,5600,14,413,366,0.886199,0.809299,0.753533,0.708325,0.684761,0.663613,0.620457,0.620457,0.620457,0.620457,0.489782,24
41,19.456,38,10,protocol,7.5,400,5757,14.3925,454,405,0.89207,0.849515,0.788599,0.746559,0.728103,0.690743,0.640949,0.640949,0.640949,0.640949,0.491074,24
42,18.432,36,10,protocol,7.5,400,5620,14.05,454,396,0.872247,0.818116,0.751832,0.713608,0.701768,0.674177,0.634014,0.634014,0.634014,0.634014,0.497499,24
43,21.504,42,10,protocol,7.5,400,5819,14.5475,460,411,0.893478,0.852639,0.792553,0.758352,0.739069,0.701487,0.657618,0.657618,0.657618,0.657618,0.495742,24
44,19.456,38,10,protocol,7.5,400,5687,14.2175,486,430,0.884774,0.841193,0.786249,0.746691,0.722836,0.68476,0.640523,0.640523,0.640523,0.640523,0.49673,24
45,20.992,41,10,protocol,7.5,400,5469,13.6725,562,489,0.870107,0.825293,0.769504,0.713721,0.693248,0.666799,0.613468,0.613468,0.613468,0.613468,0.495201,24
46,19.456,38,10,protocol,7.5,400,5599,13.9975,590,517,0.876271,0.806627,0.774266,0.727938,0.712664,0.684084,0.624345,0.624345,0.624345,0.624345,0.494013,24
47,19.968,39,10,protocol,7.5,400,5477,13.6925,634,568,0.895899,0.835355,0.794225,0.723197,0.69796,0.672654,0.610461,0.610461,0.610461,0.610461,0.492196,24
48,19.968,39,10,protocol,7.5,400,5939,14.8475,566,529,0.934629,0.879976,0.832748,0.783052,0.757765,0.72771,0.671265,0.671265,0.671265,0.671265,0.489501,24
49,20.992,41,10,protocol,7.5,400,5631,14.0775,570,524,0.919298,0.871981,0.813559,0.760968,0.727601,0.696371,0.645158,0.645158,0.645158,0.645158,0.488014,24
50,19.456,38,10,protocol,7.5,400,5861,14.6525,546,510,0.934066,0.86321,0.818182,0.790586,0.762204,0.732999,0.681321,0.681321,0.681321,0.681321,0.488873,24
51,18.432,36,10,protocol,7.5,400,5386,13.465,568,522,0.919014,0.850822,0.785268,0.744907,0.716581,0.684905,0.632624,0.632624,0.632624,0.632624,0.488632,24
52,16.896,33,10,protocol,7.5,400,5442,13.605,554,472,0.851986,0.814815,0.776885,0.750575,0.725908,0.694717,0.646353,0.646353,0.646353,0.646353,0.489515,24
53,20.48,40,10,protocol,7.5,400,5198,12.995,514,465,0.904669,0.840969,0.779295,0.735037,0.705632,0.669955,0.626175,0.626175,0.626175,0.626175,0.49452,24
54,20.48,40,10,protocol,7.5,400,5380,13.45,513,457,0.890838,0.843321,0.807435,0.764099,0.732039,0.695821,0.650423,0.650423,0.650423,0.650423,0.492611,24
55,19.456,38,10,protocol,7.5,400,5004,12.51,500,425,0.85,0.790713,0.747189,0.705882,0.691197,0.657131,0.605936,0.605936,0.605936,0.605936,0.492676,24
56,18.432,36,10,protocol,7.5,400,5266,13.165,514,444,0.863813,0.805249,0.768466,0.742942,0.719993,0.687164,0.643014,0.643014,0.643014,0.643014,0.491006,24
57,17.408,34,10,protocol,7.5,400,5391,13.4775,484,417,0.86157,0.819027,0.790912,0.767711,0.747165,0.710017,0.664981,0.664981,0.664981,0.664981,0.490499,24
58,18.432,36,10,protocol,7.5,400,5171,12.9275,498,442,0.88755,0.833333,0.78705,0.757343,0.732247,0.689322,0.639061,0.639061,0.639061,0.639061,0.48852,24
59,18.432,36,10,protocol,7.5,400,5218,13.045,466,410,0.879828,0.831871,0.793115,0.770283,0.739494,0.702149,0.652495,0.652495,0.652495,0.652495,0.489771,24
60,18.432,36,10,protocol,7.5,400,5308,13.27,424,372,0.877358,0.838574,0.803771,0.778316,0.755392,0.720182,0.6694,0.6694,0.6694,0.6694,0.48749,24
61,17.408,34,10,protocol,7.5,400,5202,13.005,462,407,0.880952,0.844804,0.795439,0.772096,0.748116,0.714201,0.664197,0.664197,0.664197,0.664197,0.490441,24
62,17.92,35,10,protocol,7.5,400,5464,13.66,490,438,0.893878,0.858238,0.833791,0.816207,0.789009,0.75824,0.704774,0.704774,0.704774,0.704774,0.490911,24
63,18.432,36,10,protocol,7.5,400,5172,12.93,582,508,0.872852,0.826757,0.797973,0.77736,0.75461,0.723936,0.673879,0.673879,0.673879,0.673879,0.48925,24
64,17.408,34,10,protocol,7.5,400,5436,13.59,644,580,0.900621,0.865806,0.829343,0.806964,0.786816,0.75945,0.711853,0.711853,0.711853,0.711853,0.487548,24
65,19.968,39,10,protocol,7.5,400,5422,13.555,574,510,0.888502,0.866543,0.845912,0.825756,0.79628,0.766326,0.714662,0.714662,0.714662,0.714662,0.486137,24
66,19.456,38,10,protocol,7.5,400,5102,12.755,584,518,0.886986,0.814415,0.776104,0.765432,0.748877,0.724671,0.677471,0.677471,0.677471,0.677471,0.484595,24
67,18.432,36,10,protocol,7.5,400,4965,12.4125,595,506,0.85042,0.817162,0.783822,0.767387,0.739309,0.712387,0.664524,0.664524,0.664524,0.664524,0.482825,24
